"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)"
电商运营,4500-15000/月,9750,成都蜀秀商贸有限公司,民营公司,1000-5000人,成都市成华区双荆路2号招商雍华府2期16栋13楼,10039,2715,公共交通,3人 | 中技 | 1年工作经验,2016-12-26,"
 岗位职责：1、负责淘宝、京 东、天猫等电商平台的日常运营工作； 2、负责公司店铺日常管理，优化店铺及商品排名，提升品牌影响力，完成销售目标；       3、负责执行与配合公司相关营销活动，能独立组织策划店铺促销活动方案，形成销售；  4、根据平台规则提报活动，并跟进活动效果；5、负责平台站内推广工作，销售数据分析监控，提出营销改进措施，调整优化运营策略。任职要求：1、熟悉线上不同渠道（天猫、淘宝等）的运营环境、交易规则，熟练使用网络营销工具，如直通车、淘宝客等推广技巧；2、1年以上相关工作经验、精通活动策划、数据分析等；3、具备优秀的沟通协调能力和团队合作精神；4、具备极强的团队执行力，",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79385957
区域销售运营总监,9000-12999/月,10999.5,成都金海盟珠宝首饰有限公司,民营公司,150-500人,成都市锦江区梨花街39号,3865,1643,公共交通,2人 | 学历不限 | 工作经验不限,2016-12-26,"
						岗位职责

1、高层管理职位，协助决策层制定公司发展战略，负责其功能领域内短期及长期的公司决策和战略，对公司中长期目标的达成产生重要影响；

2、负责公司的业务拓展、销售运作，能强有力的将计划转变成结果；

3、设置销售目标、销售模式、销售战略、销售预算和奖励计划；

4、建立和管理销售队伍，规范销售流程，完成销售目标；

5、分析新的和原有分销体系或销售渠道的市场潜力、销售数据和费用，测算盈亏情况；

6、关注于维护和提高公司市场竞争力。



任职资格

1、具有市场营销、珠宝设计和加工、电子营销等相关专业，大专或本科以上学历；

2、5年以上产品销售和渠",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76723372
招商运营专员,10000-14999/月,12499.5,成都日新伟业置业有限公司,民营公司,150-500人,成都市锦江区下东大街216号喜年广场44F,1372,1036,公共交通,10人 | 学历不限 | 工作经验不限,2016-12-26,"
						岗位职责:
1.在项目招商运营经理的管理下，负责项目日常招商和运营管理工作的执行，完成商家资源整合和月度招商任务指标，营造良好商业氛围，引导良性商家经营。
2.负责商家资源的开拓，招商谈判，招商流程办理，数据资料录入与归档。
3.参与项目相关市场调查工作，收集整理数据资料并归档。
4.参与业态规划、品牌和商家落位、招商条件等的策略分析。
5.为商家提供运营管理各项服务，组织商家联盟和活动推广。
6.向商家催收租金。
7.完成上级领导交办的其他工作。

任职资格：
1.大学专科以上学历，房地产、市场营销、工商管理、电子商务、公共关系等相关专业，具备商业地产招商运营专业知识；
2.",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80058596
运营经理,15000-19999/月,17499.5,成都轻松益家电子商务有限公司,民营公司,500-1000人,成都市青羊区青羊大道97号优诺国际,10102,2924,公共交通,1人 | 大专 | 10年以上工作经验,2016-12-26,"
						岗位职责：
1、负责与利润创造有关的运营管理工作，包括并不限于订单管理，物流追踪，部门协调，任务。
2、督导事各单位管理体系、流程、制度建设。
3、负责销售大数据管理工作。
4、针对现有管理现状，提出管理改进建议，根据决策实施执行优化办法，并评估实施效果。
5、其他运营总监安排的重点工作。
任职要求：
1、熟悉大型企业的营运规划制定和整体运作；
2、具有大型制造型企业或者是大型商贸企业的的营运管理经验；
3、有较强的执行能力和数据分析建模能力；
4、有内控经验或流程优化经验；
5、熟悉快消行业，（食品优先）；
6、从事电商行业者优先；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83582175
运营商业务经理,8000-9999/月,8999.5,JD京东商城（成都分公司）,外资（非欧美）,500-1000人,成都市武侯区科华北路69号世外桃源广场写字楼B区16楼,4867,1953,公共交通,1人 | 本科 | 工作经验不限,2016-12-26,"
						岗位职责：
1、配合公司总部运营商相关业务执行与落地工作，优化业务流程，完成本部门各项任务指标；
2、负责管辖区域内运营商业务的发展，包括合作开拓、关系维护、业务运营、销量提升；
3、负责与运营商谈判，优化合作政策、获取资源支持；
4、配合总部完成本部门商品的当地市场调查，分析、改善及丰富相关商品品类。

任职资格：
1、本科以上学历，3年以上手机通讯行业相关工作经验；
2、性格开朗，有良好的沟通、表达能力，优秀的人际交往能力；
3、具有较强的逻辑思维能力、学习能力、商务谈判能力、执行力；
4、有团队精神，有较强的压力承受能力。
5、有中国移动、中国联通、中国电信市场、渠道工作",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=74633315
运营产品经理,8000-9999/月,8999.5,四川金投金融电子服务股份有限公司,民营公司,1000-5000人,金牛区蜀西路42号,13632,3413,公共交通,若干人 | 大专 | 2年工作经验,2016-12-26,"
						岗位职责
1.基于互联网金融行业（保险、理财、基金、贷款等），挖掘运营需求，提升用户增长和留存，独立完成产品调研以及规划，撰写逻辑缜密的产品需求文档，跟踪产品的开发、测试、上线；
2.负责用户体系、运营体系建立及对应前后端产品设计管理；并能发现用户潜在需求，实施推进产品化落地
3. 定期分析运营数据，跟踪用户行为，收集用户反馈，深度挖掘用户需求，根据产品运营效果分析以及业务发展状况，规划产品升级，持续完善产品
4. 负责APP前后端bug收集与反馈，跟进开发优化进度

岗位要求：
1. 专科及以上学历，至少2年以上社交/电商移动端产品经理，有互联网金融运营经验***，负责过百万",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80765882
APP运营,6000-7999/月,6999.5,四川金投金融电子服务股份有限公司,民营公司,1000-5000人,金牛区蜀西路42号,13632,3413,公共交通,1人 | 本科 | 2年工作经验,2016-12-26,"
						岗位职责
1.负责金惠家APP产品日常运营和用户维护工作；
2.基于对用户和产品的了解，提出活动策划及运营的方案，并与相关人员进行沟通确认需求，跟进执行；
3.负责搭建APP运营数据体系，监控核心运营数据，按期出具运营报告，提升各级转化率、用户留存及粘性
4.研究竞品及主流网站及app类产品，挖掘优秀的产品设计、交互、功能，为公司阶段性运营方向制定提供有效的运营建议和决策依据。
5.准确把握用户心理，发现用户需求痛点，并输出行之有效的改进优化方案

任职要求：
1.本科及以上学历，2年以上移动互联网产品或运营工作经验；
2.热爱移动互联网行业；
3.出色的沟通",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82951666
华龙证券互联网金融部新媒体运营岗（驻成都）,4000-8000/月,6000,华龙证券股份有限公司成都人民南路证券营业部,国企,1000-5000人,四川省成都市武侯区人民南路四段45号1栋1单元4楼1、8号,8009,1927,公共交通,2人 | 本科 | 3-4年工作经验,2016-12-26,"
						职位描述：
华龙证券互联网金融部新媒体运营岗，工作地点成都，负责公司微信、微博等新媒体的日常运营工作。

岗位职责：
1、负责移动互联网自媒体平台（微信、微博、手机终端为主）的日常运营及推广工作；
2、负责独立运营微信公众号，为粉丝策划与提供优质、有高度传播性的内容；
3、负责策划并执行微媒体营销线日常活动及跟踪维护，根据项目发送各种内容信息；
4、挖掘和分析网友使用习惯、情感及体验感受，及时掌握市场、新闻热点，有效完成专题策划活动；
5、紧跟新媒体发展趋势，广泛关注标杆性公众号、大V、微信群、QQ群，积极探索新媒体运营模式；
6、独立撰写各类稿件（新闻稿、综述稿、评论稿、专访",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84351009
微信运营/市场推广/网络推广,6000-7999/月,6999.5,成都中软卓越,上市公司,1000-5000人,成都市,5212,2080,公共交通,1人 | 学历不限 | 工作经验不限,2016-12-25,"
						入职公司相关自媒体运营，包括活动策划，校园第三方媒体资源洽谈及维护；
有相关工作经验者优先！

五险一金+周末双休+节假福利+弹性工作
网址：http://www.chinasofti.com/
咨询电话：028-69716003
工作地址：成都市青羊区少城大厦13层（人民公园对面）						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80928234
社群运营主管,8000-9999/月,8999.5,成都互联分享科技有限公司,民营公司,150-500人,成都市天府大道1480号孵化园,12613,2542,公共交通,1人 | 学历不限 | 3-4年工作经验,2016-12-25,"
						工作职责：

1.负责i学院网络教学微信群的日常运营和管理；

2.制定医生微信群的群规及管理体系；

3.策划相应的线上线下活动，活跃微信群，对效果进行评估；

4.负责与i学院招生部配合，完成规定的招生指标；

5.分析目标用户群和潜在用户群，通过发布优质的内容达到二次传播的目的。

任职要求：

1.本科以上学历；

2.有2年以上的互联网社群运营经验；

3.熟悉医疗或在线教育行业，从事过教育社群运营者优先；

4.有1年以上的团队管理经验。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83680258
运营经理,10000-20000/月,15000,成都美容整形医院有限公司,民营公司,150-500人,武侯区武侯大道双楠段94号,12256,3578,公共交通,2人 | 学历不限 | 工作经验不限,2016-12-25,"
						工作内容:
1.执行医院经营计划，贯彻执行经营价格、活动政策，优化科室运营的制度、标准、流程的优化；
2.运营信息数据的收集、整理、分析，为经营决策做依据；
3.时刻关注同行项目营销动向，项目包装与价格策略，协调营销中心对项目进行包装推广；
4.组织收集竞争对手信息并进行分析，根据竞争对手状况及时调整经营策略；
5.负责学习、引进国内外先进经验、技术、设备与项目，并安排相关部门人员进行培训学习；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77378918
运营总监,15000-30000/月,22500,成都美容整形医院有限公司,民营公司,150-500人,武侯区武侯大道双楠段94号,12256,3578,公共交通,1人 | 学历不限 | 工作经验不限,2016-12-25,"
						工作内容:
1.根据医院的总体经营规划，制定运营中心的目标管理计划和实施措施，确保完成公司下达的各项任务；
2.执行医院战略规划及与各科室日常经营运作相关的制度体系、业务流程；拟定每月项目促销计划及各类销售话术。
3.组织各科室项目的包装升级，完善各科室项目架构及定价，协调销售团队进行项目销售；
4.时刻关注同行项目营销动向，项目包装与价格策略，协调营销中心对项目进行包装推广；
5.组织收集竞争对手信息并进行分析，根据竞争对手状况及时调整经营策略；
6.负责学习、引进国内外先进经验、技术、设备与项目，并安排相关部门人员进行培训学习；
7.负责本中心各类人才的选拔、培养、引进、离",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76505099
诚聘游戏运营推广+无责底薪5000+提成+包食宿+各种福利,5000-10000/月,7500,四川俊羽网络科技有限责任公司,民营公司,150-500人,高新区环球中心E1-1311,14368,3315,公共交通,14人 | 学历不限 | 工作经验不限,2016-12-25,"
						公司名称：趋势线上服务有限公司
公司经营范围：游戏软件研发（网游、手游）
公司地点：菲律宾克拉克（出国机票及签证都由公司承担！！！公司不收取求职者任何费用！！！）

岗位要求：
1.年龄18-28周岁，中专以上学历，普通话标准，形象良好，无纹身，男女不限。
2.电脑操作熟练，打字速度要求达到40字/分钟（汉字）
3.诚实守信，认同企业文化，有较强的进取心和高度的工作热情；
4.有良好的团队合作精神，有敬业精神；强烈的学习欲望、较高的执行能力；
5.良好的沟通技巧和说服能力，能承受较大的工作压力。
薪资福利：
1.底薪5000~10000元/月+提成+奖金，优",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81525003
(年薪十万)-聘自营店运营经理,8000-12000/月,10000,秦皇岛康姿百德高新技术开发有限公司,民营公司,1000-5000人,秦皇岛市开发区洋河道12号e谷创想空间B区,8798,3565,公共交通,4人 | 中专 | 3-4年工作经验,2016-12-25,"
						【薪酬福利】
1、底薪5000元/月（与销售业绩无关）+销售提成，年薪在10万元以上；
2、股权激励；
3、五险一金；
4、带薪年假； 
5、节日福利；

【岗位要求】
1、高中（中专）及以上学历；
2、年龄30-43周岁之间；
3、优秀的管理能力，能带领团队完成销售目标；
4、执行力强，较强的学习能力，具有吃苦奋斗精神；
5、有店长、销售主管、销售经理等优先考虑，有3年以上管理经验者优先；

【岗位职责】
1、执行公司的方案政策，完成店面总体的销售目标；
2、管理店内日常工作，包括店面管理、员工管理、顾客管理；
3、负责店内员工的招聘、培训及后期管理。

【公司网址】www.",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76704172
运营经理（8000-12000/月）,8000-12000/月,10000,秦皇岛康姿百德高新技术开发有限公司,民营公司,1000-5000人,秦皇岛市开发区洋河道12号e谷创想空间B区,8798,3565,公共交通,5人 | 高中 | 工作经验不限,2016-12-25,"
						【薪酬福利】
1、底薪5000元/月（与销售业绩无关）+销售提成，年薪在10万元以上；
2、股权激励；
3、五险一金；
4、带薪年假； 
5、节日福利；

【岗位要求】
1、高中（中专）及以上学历；
2、年龄29-43岁之间；
3、有优秀的销售能力，带过团队的优先考虑；
4、有连锁超市、大型商场、服装、餐饮、家居、电子产品、家电、医疗、护理、房地产、汽车、保险、金融等销售或管理经验者优先；

【岗位职责】
1、执行公司的方案政策，完成店面总体的销售目标；
2、管理店内日常工作，包括店面管理、员工管理、顾客管理；
3、负责店内员工的招聘、培训及后期管理；

【晋升与发展】
1、店",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82840722
聘邛崃运营经理（8000-12000/月）,8000-12000/月,10000,秦皇岛康姿百德高新技术开发有限公司,民营公司,1000-5000人,秦皇岛市开发区洋河道12号e谷创想空间B区,8798,3565,公共交通,5人 | 高中 | 工作经验不限,2016-12-25,"
						【薪酬福利】
1、底薪5000元/月（与销售业绩无关）+销售提成+年终奖金，年薪在10万元以上；
2、股权激励；
3、五险一金；
4、带薪年假； 
5、节日福利；

【岗位要求】
1、高中（中专）及以上学历；
2、年龄29-43岁之间；
3、有优秀的销售能力，带过团队的优先考虑；
4、有连锁超市、大型商场、服装、餐饮、家居、电子产品、家电、医疗、护理、房地产、汽车、保险、金融等销售或管理经验者优先；

【岗位职责】
1、执行公司的方案政策，完成店面总体的销售目标；
2、管理店内日常工作，包括店面管理、员工管理、顾客管理；
3、负责店内员工的招聘、培训及后期管理；

【晋升与发展",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82714817
运营经理（8000-12000/月）,8000-12000/月,10000,秦皇岛康姿百德高新技术开发有限公司,民营公司,1000-5000人,秦皇岛市开发区洋河道12号e谷创想空间B区,8798,3565,公共交通,5人 | 高中 | 工作经验不限,2016-12-25,"
						【薪酬福利】
1、底薪5000元/月（与销售业绩无关）+销售提成+年终奖金，年薪在10万元以上；
2、股权激励；
3、五险一金；
4、带薪年假； 
5、节日福利；

【岗位要求】
1、高中（中专）及以上学历；
2、年龄29-43岁之间；
3、有优秀的销售能力，带过团队的优先考虑；
4、有连锁超市、大型商场、服装、餐饮、家居、电子产品、家电、医疗、护理、房地产、汽车、保险、金融等销售或管理经验者优先；

【岗位职责】
1、执行公司的方案政策，完成店面总体的销售目标；
2、管理店内日常工作，包括店面管理、员工管理、顾客管理；
3、负责店内员工的招聘、培训及后期管理；

【晋升与发展",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82714804
聘邛崃运营经理（8000-12000/月）,8000-12000/月,10000,秦皇岛康姿百德高新技术开发有限公司,民营公司,1000-5000人,秦皇岛市开发区洋河道12号e谷创想空间B区,8798,3565,公共交通,5人 | 高中 | 工作经验不限,2016-12-25,"
						【薪酬福利】
1、底薪5000元/月（与销售业绩无关）+销售提成+年终奖金，年薪在10万元以上；
2、股权激励；
3、五险一金；
4、带薪旅游；
5、带薪年假； 
6、节日福利；

【岗位要求】
1、高中（中专）及以上学历；
2、年龄29-43岁之间；
3、有优秀的销售能力，带过团队的优先考虑；
4、有连锁超市、大型商场、服装、餐饮、家居、电子产品、家电、医疗、护理、房地产、汽车、保险、金融等销售或管理经验者优先；

【岗位职责】
1、执行公司的方案政策，完成店面总体的销售目标；
2、管理店内日常工作，包括店面管理、员工管理、顾客管理；
3、负责店内员工的招聘、培训及后期管理；",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82620333
运营经理（8000-12000/月）,8000-12000/月,10000,秦皇岛康姿百德高新技术开发有限公司,民营公司,1000-5000人,秦皇岛市开发区洋河道12号e谷创想空间B区,8798,3565,公共交通,5人 | 高中 | 工作经验不限,2016-12-25,"
						【薪酬福利】
1、底薪5000元/月（与销售业绩无关）+销售提成，年薪在10万元以上；
2、股权激励；
3、五险一金；
4、年终奖金；
5、带薪年假；

【岗位要求】
1、高中（中专）及以上学历；
2、年龄29-43岁之间；
3、有优秀的销售能力，带过团队的优先考虑；
4、有连锁超市、大型商场、服装、餐饮、家居、电子产品、家电、医疗、护理、房地产、汽车、保险、金融等销售或管理经验者优先；

【岗位职责】
1、执行公司的方案政策，完成店面总体的销售目标；
2、管理店内日常工作，包括店面管理、员工管理、顾客管理；
3、负责店内员工的招聘、培训及后期管理；

【晋升与发展】
1、店面",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82279411
网络游戏运营推广+包吃住,5000-12000/月,8500,四川俊羽网络科技有限责任公司,民营公司,150-500人,高新区环球中心E1-1311,14368,3315,公共交通,若干人 | 高中 | 工作经验不限,2016-12-25,"
						岗位职责：
1、通过网络渠道招募上级规定数量的游戏玩家，组织玩家进驻公司指定游戏。
2、熟悉游戏系统及游戏玩法，对在线玩家进行引导，满足新手指导员的要求；
3、善于把握玩家心理，沉淀玩家。
4、挖掘可控的网络管理让其替代游戏管理工作，避免玩家流失。
岗位要求：
1、年龄18-28岁，男女不限，沟通能力、抗压能力强；
2、熟悉计算机基本操作，打字速度较快，每分钟40个字；
3、服从上级安排，有良好的职业操守以及较强的客户服务意识，做事能坚持不懈，有较强的工作责任心及团队合作精神；
薪资待遇：
1、底薪5000~10000元/月+提成+奖金，优秀者工资可达200",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82213668
聘网络游戏运营专员/储备主管,5000-12000/月,8500,四川俊羽网络科技有限责任公司,民营公司,150-500人,高新区环球中心E1-1311,14368,3315,公共交通,15人 | 高中 | 工作经验不限,2016-12-25,"
						岗位职责：
1、 主要工作， 利用所有能利用资源进行 游戏推广 ；
2、头脑灵活，肯吃苦 ，忍耐力强，反应能力快；
3、 有一定的游戏理解能力，与游戏操作能力 ；
4、 年轻有冲劲有毅力肯吃苦，真心喜欢游戏行业 ；
5、工作积极向上，有责任心、事业心，热爱游戏，有一定的沟通能力。
岗位要求：
1、年龄18-28岁，高中及以上学历，男女不限，经验不限；
2、能熟练操作电脑，打字速度40个字以上/分钟；
3、不满足现状，希望通过自身努力想在短时间改变现状，努力、踏实、能吃苦。
4、反应灵敏、善于网络沟通并可以很好的处理玩家的质疑；
5、具备良好的团队协作、组织",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81974202
