"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)","('job_Id',)","('company_Id',)"
校园市场品牌部人资培训（Human Resource）（成都）,,',前程无忧,上市公司,,,3322,1748,公共交通,若干人 | 学历不限 | 工作经验不限,2017-03-22,"
人资培训（Human Resource）：性格开朗，在学生中有一定影响力与话语权，人脉广泛，帮助团队招募新成员。对人力资源行业有兴趣，耐心负责，培训团队成员。掌握财务基础知识，能够独立做帐，认真负责，承担报销工作。 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87227280,87227280,4283267
急聘策划专员,4.5-6千/月,5250,四川仁信汽车服务有限公司,民营公司,150-500人,经开区,3422,1513,公共交通,若干人 | 大专 | 2年工作经验,2017-03-22,"
1.进行广告的文案设计工作2.负责各类营销策划资料的文案设计工作3.收集整理优秀的广告文案作品及现金理念4.参与公司的各项营销策划工作5.市场调研资料的收集整理及分析6.负责公众号日常文章编写推送工作7.配合完成策划部的综合业务工作及临时性工作任职资格1.大专及以上学历，广告设计相关专业2.2年及以上相关工作经验、3.工作认真负责、有责任心 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84904550,84904550,3910937
市场策划/平面设计/项目专员,4.5-6千/月,5250,深圳市一览网络股份有限公司成都分公司,民营公司,500-1000人,四川省成都市锦江区红星路三段99号银石广场,1787,931,公共交通,1人 | 大专 | 1年工作经验,2017-03-22,"
						岗位职责：
1.负责公司对内、对外的平面设计和文案撰写工作；
2.积极开拓线上、线下品牌宣传渠道，参与制定品牌传播计划；
3.依照项目需求设计宣传产品、画册、海报、广告、网页页面；
4.负责线下项目活动的流程策化、场地布置、宣传物资设计及活动实施；
5.积极协助销售同事完成客户解决方案中的设计部分；
6.上级领导下发的其他项目任务。

任职要求：
1.大专及以上学历，设计类专业优先；
2.1年及以上相关工作经验，接受有相关实习经验的优秀应届毕业生；
3.良好的审美能力、文案写作能力、活动策划及执行能力；
4.熟练使用PS、AI 、Coreldraw、CAD等绘图软件；
5.优秀",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87196679,87196679,4283362
房地产策划经理,4.5-6千/月,5250,成都冠城实业集团,民营公司,500-1000人,成都顺城街308号冠城广场38F,3574,1706,公共交通,1人 | 大专 | 3-4年工作经验,2017-03-22,"
						岗位职责：
1.收集房地产行业的市场信息，研究房地产开发的发展趋势，制定相关报告。
2.组织、联合各相关部门对项目进行市场定位、制定开发计划和展示方案，并为项目规划设计工作的开展提供支持。
3.组织和参与制定部门年度/月度营销工作计划及整体营销推广方案。
4.监控各项目销售计划的执行，保证按时完成公司下达的月度及年度销售任务。
5.根据市场情况和产品价值，制定各项目的推广策略、定价策略、销售策略、渠道及活动策略等。
6.做好项目推广分析和营销总结工作。
7.制定项目推广的媒体组合和费用预算。
8.做好内外部沟通和协调。
9.根据市场情况及时提交项目营销推广调整方案和后续实施方案",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85351975,85351975,1991720
市场营销策划,4.5-6千/月,5250,成都观真酒业有限公司,民营公司,150-500人,成都市东大街芷泉段229号东方广场C座15楼,1247,182,的士,1人 | 大专 | 2年工作经验,2017-03-22,"
						任职条件：
1、对快消品行业有深入了解，对预调鸡尾酒行业有独特洞见
2、了解创新品牌运作的基本思路，及发展过程中的困难
3、具备较强的调研分析能力，强烈的求知欲，善于抓住问题的本质
4、具备专业的活动策划能力，富有逻辑的奇思妙想，步骤清晰的落地执行。
5、具备深厚的文字功底
6、具备专业的PPT制作能力
7、心理素质良好，懂得付出
岗位职责描述： 
1、负责成都线下市场营销活动的策划并深入市场，协助指导业务团队开展活动；
2、策划场景包括：餐饮终端、***终端、KA终端等具体渠道促销活动；也包括与仁和春天、IFS、唯爱集团、芙蓉新娘、万达集团等公司合作单位共同开展的其他事件性营",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=75603952,75603952,2410799
商业地产运营经理,6-8千/月,7000,成都新中泰然商务服务有限公司,民营公司,,高新区,5121,2007,公共交通,1人 | 大专 | 5-7年工作经验,2017-03-22,"
						岗位职责：
1、负责商业地产项目整体运营管理工作；
2、负责项目前期运营规划定位、业态组合、空间规划管理；
3、负责确定商户品牌组合，拟定招商计划、招租政策，选择招商方式和渠道；
4、负责商业活动的策划、宣传、组织、执行，以及调控商业发展、品牌更迭、补位招商等；
5、负责项目开业后运营管理，定期对经营的品类、品牌进行市场调研，为经营决策提供有效信息并对经营业绩负责。
6、负责项目经营销售指标达成（租金、物业费、水电能耗等其他费用）；
任职资格：
1、正规本科学历，25-45岁，经验丰富者条件可放宽，公司更看中的是能力；
2、3年以上商业地产运营管理经验，具备商",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87111402,87111402,4308985
WE创空间运营人员（产业团队）,6-8千/月,7000,成都万科房地产有限公司,民营公司,150-500人,成都市静安路1号万科城市花园98栋1座,6292,2407,公共交通,1人 | 学历不限 | 工作经验不限,2017-03-22,"
						有孵化器运营经验优先；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79781143,79781143,2151571
文案策划,4.5-6千/月,5250,美中国际教育集团,外资（欧美）,150-500人,中国成都市锦江区下东大街216号喜年广场A座8层、25层,1407,1053,公共交通,1人 | 本科 | 1年工作经验,2017-03-22,"
						基本职责描述：
1.负责项目及活动传播相关宣传文案撰稿、组稿，能独立撰写各类稿件
2.负责项目及活动的创意文案，品牌推广活动宣传方案，以及策划案的撰写和编辑
3.针对热点事件、活动的策划
4.负责部分项目网站、微信等新媒体平台的维护及宣传
5.各类广告图、宣传片的创意和文案撰写
基本任职要求:

1.本科以上文科类专业毕业，中文系、新闻系相关专业优先，2年以上工作经验
2.文字驾驭能力强，有较强的语言表达能力，能驾驭多钟文风，了解教育行业；；
3.有敏锐的市场嗅觉，擅于利用热点和事件进行相关文案的写作
4.熟悉网站、微信等平台，清楚其特点和运营方式的优先
5.思维严谨，注重细节",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83620026,83620026,2486504
营销策划,4-8千/月,6000,成都万科房地产有限公司,民营公司,150-500人,成都市静安路1号万科城市花园98栋1座,6292,2407,公共交通,若干人 | 大专 | 工作经验不限,2017-03-22,"
						1.熟悉各类传统媒体与新媒体的推广模式 2.具有良好的洞察力与创造力，能有效的退出策略与方案 3.具有良好的品牌意识与鉴赏力，还能把控各类推广物料的品质及效果 4.优秀的文字功底和文案制作能力 1.整合各种媒介推广渠道与资源，提出有效的推广策略与方案 2.从推广的角度配合公司各类销售活动、专题活动的开展，持续吸引客群的关注 3.制定合理的推广计划并组织实施 4.审核各类推广文字、图片和物料，保障推广效果 5.参与项目整体营销策略的制定和执行						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=78052933,78052933,2151571
计划运营主管,6-8千/月,7000,四川瑞信实业集团有限责任公司,民营公司,150-500人,锦江区滨江东路9号附9号香格里拉中心11楼,2522,1631,公共交通,1人 | 本科 | 3-4年工作经验,2017-03-22,"
						1.土木工程类、项目管理、房地产开发等相关专业；
2.5年及以上相关工作经验，其中2年及以上房地产运营管理经验，具有系统参与项目开发经验；
3.能够完成项目运营的目标设定、会议的组织、监控，项目计划的指定与监控，知识的管理等；
4.熟练操作Office软件、项目管理软件、办公自动化系统；
5.有较强的的沟通与组织协调能力，为人踏实稳重，性格开朗。

岗位职责：
1.集团年度经营计划及项目开发计划的拟定；
2.集团新项目立项的协调工作，组织开展定位策划、可研报告的拟定；
3.各项目土地前期模块的材料数据收集整理，以及该模块费用审批工作；
4.项目运营计划的跟进、",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82547668,82547668,2527429
文案策划,6-8千/月,7000,上海易贷网金融信息服务有限公司,民营公司,150-500人,锦江区东华门正街42号四川广电国际大厦25楼,2701,1381,公共交通,1人 | 学历不限 | 工作经验不限,2017-03-22,"
						工作内容祥述：   　
1：负责集团各重要品牌的文案梳理、策划、编辑；
2：协助公关总监策划公关文案；
3：与外部合作机构接洽沟通文案撰写、发布等相关需求
4：与公司其他部门协作，做好内容运营工作
5：完成领导交办的其他任务。
任职要求：
1、本科及以上学历，中文、新闻、财经、金融等专业背景优先；
2、 有较强的沟通能力，可以在沟通中迅速捕捉核心要点；
3、 有较强的文字功底，有准确表达的能力，熟练掌握各类题材稿件的写作；
4、 有一定的金融和财经知识储备，有金融从业经验者优先；
?5、 有财经媒体采编工作经验者优先。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85515960,85515960,4129125
策划师/主管/经理,0.5-1万/月,7500,成都万科房地产有限公司,民营公司,150-500人,成都市静安路1号万科城市花园98栋1座,6292,2407,公共交通,若干人 | 本科 | 工作经验不限,2017-03-22,"
职位描述：1、负责项目的整体运作；2、负责项目销售过程的各项销售报告和策划方案；3、负责协助销售经理拟定的营销策略。岗位要求;1、两年以上房地产行业策划经验，熟悉策划工作流程；2、具有良好的沟通能力和管理能力；3、熟悉房地产营销策划报告，并参与过部分报告撰写。 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73968891,73968891,2151571
校园市场品牌部公共关系（Public Relations）（成都）,,',前程无忧,上市公司,,,3322,1748,公共交通,若干人 | 学历不限 | 工作经验不限,2017-03-22,"
公共关系（Public Relations）：在校拥有相关资源，对外洽谈促成合作。有一定执行能力和领导力，在高校内能够组织、带领团队完成线下执行任务。对时事热点敏感，有校内宣传推广经验，熟悉宣传渠道，承担校内宣传工作。 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87226518,87226518,4283267
新媒体策划文案,6-8千/月,7000,成都观真酒业有限公司,民营公司,150-500人,成都市东大街芷泉段229号东方广场C座15楼,1247,182,的士,2人 | 大专 | 2年工作经验,2017-03-22,"
						岗位职责
1、根据公司经营产品做用户调研，发掘用户特点。
2、熟悉社交网站SNS平台（微信、微博、豆瓣、知乎等）传播、运营特性，结合公司产品及受众分析，寻找与用户的结合点，根据网络、时事、娱乐等即时热点创作热点话题内容。
3、百度推广、新闻网站以及其他媒体推广文案的创意、策划、撰写
4、公司品牌推广文案策划及撰写，包括广告文案、线上活动文案、产品宣传推广文案、活动规划等
5、对用户访问进行数据分析，针对数据对运营方案作出及时的调整和反馈。
6、关注网络、社会信息动态，为其他同事提供信息源、创意点支持，快速有效地提高用户关注度和品牌曝光度。

任职要求
1、文科类专业，中文、新闻",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=72607887,72607887,2410799
品牌宣传,6-8千/月,7000,深圳普惠快信金融服务有限公司,民营公司,5000-10000人,成都市武侯区人民南路4段3号来福士广场T1-22楼,5531,1914,公共交通,若干人 | 学历不限 | 工作经验不限,2017-03-22,"
						岗位职责：
1、	公司品牌宣传与推广的创意策划、文案撰写，公司新闻稿件和媒体软文的编辑与撰写
2、	公司网站、app、贴吧、微信公众号等线上平台中品牌宣传推广以及线上引流工作
3、	参与品牌在线推广活动的策划与实施，负责项目的信息收集、策略分析、方案拟定、提案制作等工作
4、	市场调查与行业动态分析，并提出应对策略
5、	各类宣传品所需文字内容的组织和整理

任职要求：
1、	本科以上学历，市场营销、中文、广告公关或者媒体专业优先；
2、	具有较好的文字功底和文案策划能力，有新媒体运营经验；
3、	具有良好的活动策划能力，熟悉方案的设计与撰写力
4、	高度的",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86609668,86609668,3506133
策划文案（应届毕业生亦可）双休,4-6千/月,5000,成都优才创智科技有限公司,民营公司,150-500人,成都市成华区猛追湾街94号339欢乐颂广场写字楼A座611,1559,1293,公共交通,15人 | 大专 | 无工作经验,2017-03-22,"
						""岗位职责：
1、根据公司业务需求，撰写相关新闻软文、专题策划；
2、能独立完微信公众账号的编辑、选题、美工、校对等工作。
3、配合运营部门的需求，制定公司和网站的各类线上、线下活动，并总结监督各类活动的实施效果；
4、分析市场需求，依据公司品牌和产品特点，进行网络营销；
5、工作积极主动，能够定期为网站和活动的策划提出具有创造性的创意与方案。
6、熟练使用编辑软件办公软件及Photoshop等相关设计软件。
7、能快速领会微信设计风格、熟练操作各流程。
8、有很强的责任心保证编辑质量。
9、定期与粉丝互动，策划并执行相关线上和线下的微信推广活动，提高粉丝活跃度。
任职要求：
",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84842575,84842575,4176613
国企子公司新媒体运营/文案/策划,4-7千/月,5500,深圳怀新企业投资顾问股份有限公司四川分公司,民营公司,500-1000人,青羊区提督街1号雄飞中心31楼,2025,983,公共交通,1人 | 大专 | 工作经验不限,2017-03-22,"
						岗位职责：
1．参与公司新媒体平台整体策划、宣传配合等工作，负责产品的策划和运营；
2．为公司各种宣传提供文字创意，如新闻稿件、专题页、品牌文案等；
3．负责公司对外广告创意的策划构思及维护、广告文案的撰写、协助营销开展工作并做好服务；
4．负责微信公众号、官方微博的内容策划、采编和制作；
5．负责公司品牌宣传、活动信息等宣传资料的撰写的采访、策划及相关制作；
6．根据不同时期宣传热点，发掘公司热点事件和营销信息，多方面进行报道。

任职资格：

1、大专及以上学历，广告、市场营销、计算机、金融等专业；
2、具有扎实的新媒体运营和策划功底，独立的提案、组织、策划能力；
3、关注",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86014917,86014917,4078998
运营专员,4-6千/月,5000,广东品胜电子股份有限公司,民营公司,1000-5000人,成都市武侯区人民南路四段1号数码广场时代数码大厦A座26楼,5190,1642,公共交通,1人 | 学历不限 | 工作经验不限,2017-03-22,"
						岗位职责：
1、	负责苏宁国美自营平台整体运营工作，完成公司制定的销售目标；
2、	维护平台自营各仓库的库存情况，并根据销售计划及时提出关备货预测，确保活动期间库存足够；
3、	苏宁国美自营平台产品及店铺日常运营工作
4、	店铺活动规划及落地执行（月度活动规划及执行）
5、	与平台采销沟通活动提报、资源获取；对内沟通价格政策，平衡其它平台之间活动的影响并妥善处理；
6、	完成领导交付的其它工作。

任职要求：
1.	一年以上苏宁国美平台，或其它B2C平台的运营及管理经验，拥有苏宁国美平台运营经验者优先
2.	责任心强，好学上进，细心有耐心，能承受工作压力
3",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84025556,84025556,2017602
网店运营,6-8千/月,7000,四川省中亿孕婴用品贸易有限责任公司,民营公司,500-1000人,成都市武侯区锦绣路1号保利中心大厦东区B栋2层,5368,1927,公共交通,1人 | 大专 | 2年工作经验,2017-03-22,"
						工作内容：
1、负责阿里系淘宝、天猫线上推广，包括不限于直通车、钻展、淘宝客（重点）的推广优化和数据分析；
2、制定推广计划配合各渠道运营做各类活动的引流和品牌曝光；
3、拥有垂直类（聚美、唯品会等）渠道运营或推广经验；

任职要求：
1、至少具备2年以上推广经验（母婴类目优先）对直通车有深入了解，精通钻展投放，擅长数据分析；
2、了解天猫后台操作与规则,对数据比较敏感，有自己的推广思路及判断；
3、能利用各种工具，分析推广报表，给运营数据支持；
4、有较强的团队合作精神，能适应工作压力和面对挑战；						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86448210,86448210,2325036
市场策划,4-8千/月,6000,北京中富金石咨询有限公司四川分公司,民营公司,150-500人,高新区天府二街萃华路国际科技节能大厦A座8楼,6567,2132,公共交通,1人 | 本科 | 工作经验不限 | 普通话 ,2017-03-22,"
						职位描述：
1、负责销售部门整体网络广告策划；
2、结合市场行情热点进行专题专案策划；
3、通过与网络技术、设计的对接，实现策划方案的落地执行；
4、与业务部对接策划案的实施状态并进行监督；
5、统计策划案的网络表现数据并做出评估和优化。
 
任职要求：
1、本科及其以上，广告或金融专业相关专业为佳；
2、2年以上金融行业策划及文案工作经验；
3、优秀的审美鉴赏能力；
4、优秀的文字表述能力，逻辑性强，有创意；
5、熟悉SEM、网盟、移动推广等网络广告环境。
 
薪酬福利：
底薪+绩效+年终奖+周末双休+国家法定节假日+六险
上班地址：成都市高新",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84129952,84129952,4156095
电商运营专员,4-6千/月,5000,成都和胜餐饮酒店管理有限公司,民营公司,500-1000人,成都市,5121,2007,公共交通,2人 | 大专 | 1年工作经验,2017-03-22,"
						主要职责：
1.负责各品牌外卖、团购、支付等业务的线上推广、维护与运营；
2.负责公司各产品、半成品的线上销售渠道开拓和维护；
3.协助进行外展业务的组织策划、业务拓展和异业合作的搭建；
4.负责所管理渠道业绩的提升及品牌好感度的建立和维护。
任职资格：
1.一年以上线上渠道开拓及维护经验，愿意长期在该行业发展。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81704226,81704226,2473283
资深策划/,6-8千/月,7000,成都九龙医院,民营公司,150-500人,成都市青羊区八宝街19号,4478,2060,公共交通,3人 | 大专 | 3-4年工作经验,2017-03-22,"
						1、新闻、广告、传媒、营销等相关专业，大专以上学历； 2、3年以上广告策划推广工作经验，5年以上医疗行业同等岗位工作经历； 3、熟悉医疗行业的营销运营模式与发展趋势，把握市场动态及方向，有较强的市场分析、判断能力和营销意识，能策划、组织有效的推广计划及宣传工作，具有较强的全案策划及实施能力，思路新颖，创意独特，并有知名品牌运作和策划工作案例；  4、熟悉医疗广告业务运作规律、流程和特点、医疗广告政策、法规及制度，并具备相关知识； 5、具有独立开展工作的能力、较强的团队管理、协调与沟通、人际关系维护能力、责任心强、有较强的观察力、分析判断力和应变能力，能带领团队出色的完成工作任务",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85820222,85820222,2415965
品牌策划推广经理,0.6-1万/月,8000,果岭集团,民营公司,150-500人,总部：成都市高新区九兴大道10号泰山科技大厦，分公司：锦江区锦华路三段88号汇融国际大厦C座13F。,4513,1605,公共交通,2人 | 本科 | 5-7年工作经验 | 普通话 良好,2017-03-22,"
						岗位职责
1、负责公司或客户项目品牌规划、设计、推广工作，完成项目营销推广的整体策划创意、设计与提报；
2、负责撰写品牌策划、推广方案，组织实施品牌推广策略，建立有效的分析、评估体系，保障品牌建设及推广效果；
3、定期组织市场调研，收集市场信息，掌握市场动向和发展趋势，及时汇总情况，有针对性的策划项目的营销策略；
4、品牌策划推广活动的组织、执行、协调以及在执行过程中的监控和调优；
5、建立和维护行业互联网资源，高效利用各类媒体资源来执行品牌营销计划；
6、完成领导交办的其他工作。
任职资格
1、本科及以上学历，三年以上品牌策划、运作管理经验；
2、二年以上互",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=74956013,74956013,3301065
